N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	92.7	92.7	90.6799972057343	26.7199993133545	21.9400003552437	tr|D9ZGF2|D9ZGF2_HUMAN	Collagen, type VI, alpha 3 OS=Homo sapiens GN=COL6A3 PE=4 SV=1	HUMAN	49					
1	0	92.7	90.6799972057343	26.7199993133545	21.9400003552437	sp|P12111|CO6A3_HUMAN	Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=1 SV=5	HUMAN	49					
2	73.82	73.82	99.7600018978119	66.7500019073486	66.509997844696	tr|A0A024R5K8|A0A024R5K8_HUMAN	Serpin peptidase inhibitor, clade H (Heat shock protein 47), member 1, (Collagen binding protein 1), isoform CRA_a OS=Homo sapiens GN=SERPINH1 PE=3 SV=1	HUMAN	64					
2	0	73.82	99.7600018978119	66.7500019073486	66.509997844696	sp|P50454|SERPH_HUMAN	Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2	HUMAN	64					
3	51.59	51.59	98.1000006198883	59.1499984264374	57.2499990463257	sp|Q15582|BGH3_HUMAN	Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1	HUMAN	35					
4	39.22	39.22	94.7399973869324	32.260000705719	29.6299993991852	tr|A0A087X0S5|A0A087X0S5_HUMAN	Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=1	HUMAN	24					
4	0	39.22	94.5500016212463	32.1999996900558	29.5700013637543	sp|P12109|CO6A1_HUMAN	Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3	HUMAN	24					
5	31.85	31.85	86.5599989891052	24.7299998998642	23.0599999427795	sp|P12110|CO6A2_HUMAN	Collagen alpha-2(VI) chain OS=Homo sapiens GN=COL6A2 PE=1 SV=4	HUMAN	18					
6	19.72	19.72	93.4800028800964	13.9300003647804	10.9999999403954	tr|A0A087WTA8|A0A087WTA8_HUMAN	Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1	HUMAN	11					
6	0	19.72	93.4099972248077	13.910000026226	10.980000346899	tr|A0A0S2Z3H5|A0A0S2Z3H5_HUMAN	Collagen type I alpha 2 isoform 1 (Fragment) OS=Homo sapiens GN=COL1A2 PE=2 SV=1	HUMAN	11					
6	0	19.72	93.4099972248077	13.910000026226	10.980000346899	sp|P08123|CO1A2_HUMAN	Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=7	HUMAN	11					
7	18.25	18.25	91.4099991321564	15.8199995756149	15.8199995756149	tr|D3DTX7|D3DTX7_HUMAN	Collagen, type I, alpha 1, isoform CRA_a OS=Homo sapiens GN=COL1A1 PE=4 SV=1	HUMAN	9					
7	0.12	16.29	88.8700008392334	9.358000010252	8.33299979567528	sp|P02452|CO1A1_HUMAN	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	HUMAN	8					
8	17.34	17.34	82.150000333786	22.5099995732307	20.2600002288818	sp|Q8NBJ5|GT251_HUMAN	Procollagen galactosyltransferase 1 OS=Homo sapiens GN=COLGALT1 PE=1 SV=1	HUMAN	11					
9	12.43	12.43	86.7699980735779	9.4820000231266	6.88899978995323	sp|P02461|CO3A1_HUMAN	Collagen alpha-1(III) chain OS=Homo sapiens GN=COL3A1 PE=1 SV=4	HUMAN	11					
10	10.13	10.13	69.5500016212463	22.6300001144409	22.6300001144409	sp|Q96CG8|CTHR1_HUMAN	Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1	HUMAN	6					
11	9.06	9.06	74.1900026798248	11.2899996340275	11.2899996340275	sp|P27658|CO8A1_HUMAN	Collagen alpha-1(VIII) chain OS=Homo sapiens GN=COL8A1 PE=1 SV=2	HUMAN	6					
12	7.87	7.87	82.2000026702881	3.23299989104271	2.08999998867512	tr|D6RGG3|D6RGG3_HUMAN	Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=1	HUMAN	4					
12	0	7.87	82.9299986362457	3.2320000231266	2.0889999344945	sp|Q99715|COCA1_HUMAN	Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2	HUMAN	4					
13	4.61	4.61	85.7999980449677	1.18899997323751	0.611399998888373	sp|Q02388|CO7A1_HUMAN	Collagen alpha-1(VII) chain OS=Homo sapiens GN=COL7A1 PE=1 SV=2	HUMAN	2					
14	3.55	3.55	79.5400023460388	3.31900008022785	2.17599999159575	tr|A0A087WXW9|A0A087WXW9_HUMAN	Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=1	HUMAN	2					
14	0.01	3.55	79.5400023460388	3.31900008022785	2.17599999159575	tr|B2ZZ86|B2ZZ86_HUMAN	Collagen type V alpha 1 OS=Homo sapiens GN=COL5A1 PE=2 SV=1	HUMAN	2					
14	0.01	3.55	79.5400023460388	3.31900008022785	2.17599999159575	tr|A0A024R8E5|A0A024R8E5_HUMAN	Collagen, type V, alpha 1, isoform CRA_a OS=Homo sapiens GN=COL5A1 PE=4 SV=1	HUMAN	2					
14	0.01	3.55	79.5400023460388	3.31900008022785	2.17599999159575	sp|P20908|CO5A1_HUMAN	Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=3	HUMAN	2					
14	0.01	3.55	80.0800025463104	3.40400002896786	2.23200004547834	tr|Q59EE7|Q59EE7_HUMAN	Pro-alpha-1 type V collagen variant (Fragment) OS=Homo sapiens PE=2 SV=1	HUMAN	2					
15	2.47	2.55	82.3199987411499	1.86800006777048	0.800499971956015	sp|P05997|CO5A2_HUMAN	Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=3	HUMAN	1					
15	0	2.54	85.699999332428	2.51800008118153	1.07899997383356	tr|A0A087WYX9|A0A087WYX9_HUMAN	Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=1	HUMAN	1					
15	0	2.49	85.7800006866455	3.15999984741211	1.35399997234344	tr|D3DPH5|D3DPH5_HUMAN	Collagen, type V, alpha 2, isoform CRA_b OS=Homo sapiens GN=COL5A2 PE=4 SV=1	HUMAN	1					
16	1.61	1.61	76.5600025653839	0.95600001513958	0.95600001513958	sp|A8TX70|CO6A5_HUMAN	Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=1	HUMAN	2					
16	0.01	1.51	76.5600025653839	0.957500003278255	0.957500003278255	tr|E9PAL5|E9PAL5_HUMAN	Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=3	HUMAN	2					
17	1.35	1.35	88.1900012493134	1.22999995946884	0.55350000038743	sp|Q8NFW1|COMA1_HUMAN	Collagen alpha-1(XXII) chain OS=Homo sapiens GN=COL22A1 PE=2 SV=2	HUMAN	1					
18	1.12	1.12	89.5500004291534	0.535099999979138	0	RRRRRtr|D9ZGF2|D9ZGF2_HUMAN	REVERSED Collagen, type VI, alpha 3 OS=Homo sapiens GN=COL6A3 PE=4 SV=1	HUMAN	0					
