"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Protein FDR Confidence A4 Mascot"	"# Decoy Proteins A4 Mascot"	"Exp. q-value A4 Mascot"	"Score A4 Mascot"	"# Peptides A4 Mascot"	"Protein FDR Confidence B4 Mascot"	"# Decoy Proteins B4 Mascot"	"Exp. q-value B4 Mascot"	"Score B4 Mascot"	"# Peptides B4 Mascot"	"Protein FDR Confidence C4 Mascot"	"# Decoy Proteins C4 Mascot"	"Exp. q-value C4 Mascot"	"Score C4 Mascot"	"# Peptides C4 Mascot"	"Protein FDR Confidence D4 Mascot"	"# Decoy Proteins D4 Mascot"	"Exp. q-value D4 Mascot"	"Score D4 Mascot"	"# Peptides D4 Mascot"	"Protein FDR Confidence E4 Mascot"	"# Decoy Proteins E4 Mascot"	"Exp. q-value E4 Mascot"	"Score E4 Mascot"	"# Peptides E4 Mascot"	"Protein FDR Confidence F4 Mascot"	"# Decoy Proteins F4 Mascot"	"Exp. q-value F4 Mascot"	"Score F4 Mascot"	"# Peptides F4 Mascot"	"Protein FDR Confidence G4 Mascot"	"# Decoy Proteins G4 Mascot"	"Exp. q-value G4 Mascot"	"Score G4 Mascot"	"# Peptides G4 Mascot"	"Protein FDR Confidence H4 Mascot"	"# Decoy Proteins H4 Mascot"	"Exp. q-value H4 Mascot"	"Score H4 Mascot"	"# Peptides H4 Mascot"	"Protein FDR Confidence I4 Mascot"	"# Decoy Proteins I4 Mascot"	"Exp. q-value I4 Mascot"	"Score I4 Mascot"	"# Peptides I4 Mascot"
"False"	"IsMasterProtein"	"C3K2X8"	"Elongation factor Tu OS=Pseudomonas fluorescens (strain SBW25) GN=tuf PE=3 SV=1"	"82,367758186398"	"26"	"847"	"12"	"1"	"397"	"43,536"	"5,45"	"High"	"0"	"0"	"4463,60022615261"	"25"	"High"	"0"	"0"	"3267,75966828543"	"23"	"High"	"0"	"0"	"3131,436126719"	"22"	"High"	"0"	"0"	"3727,97626251806"	"24"	"High"	"0"	"0"	"3776,59865720768"	"21"	"High"	"0"	"0"	"477,55081481925"	"8"	"High"	"0"	"0"	"2468,74441608046"	"17"	"High"	"0"	"0"	"3525,8344341268"	"23"	"High"	"0"	"0"	"511,997915259184"	"9"
"False"	"IsMasterProtein"	"P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"	"62,3287671232877"	"37"	"1386"	"14"	"1"	"584"	"58,792"	"5,21"	"High"	"0"	"0"	"2399,25257618788"	"25"	"High"	"0"	"0"	"2240,91961390367"	"24"	"High"	"0"	"0"	"1952,16330296827"	"24"	"High"	"0"	"0"	"2030,1635786201"	"21"	"High"	"0"	"0"	"12129,6037686182"	"30"	"High"	"0"	"0"	"6708,59439008182"	"26"	"High"	"0"	"0"	"7717,12077565365"	"23"	"High"	"0"	"0"	"7068,3291936734"	"23"	"High"	"0"	"0"	"8065,54692106975"	"26"
"False"	"IsMasterProtein"	"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	"62,5776397515528"	"43"	"1899"	"27"	"1"	"644"	"65,999"	"8,12"	"High"	"0"	"0"	"2290,86743736858"	"26"	"High"	"0"	"0"	"2164,07791801093"	"24"	"High"	"0"	"0"	"2111,62921734023"	"26"	"High"	"0"	"0"	"1868,4634862564"	"22"	"High"	"0"	"0"	"13139,0744561215"	"38"	"High"	"0"	"0"	"11017,3249126992"	"33"	"High"	"0"	"0"	"8263,67808833819"	"24"	"High"	"0"	"0"	"9330,94572993149"	"28"	"High"	"0"	"0"	"13273,0068211492"	"31"
"False"	"IsMasterProtein"	"Q48D34"	"Elongation factor Tu OS=Pseudomonas savastanoi pv. phaseolicola (strain 1448A / Race 6) GN=tuf PE=3 SV=1"	"44,8362720403023"	"13"	"396"	"3"	"0"	"397"	"43,418"	"5,54"	"High"	"0"	"0"	"2244,2285307226"	"12"	"High"	"0"	"0"	"1574,68165392291"	"12"	"High"	"0"	"0"	"1580,52070663193"	"10"	"High"	"0"	"0"	"2119,00517546274"	"12"	"High"	"0"	"0"	"1904,70323584652"	"10"	"High"	"0"	"0"	"310,774882562017"	"5"	"High"	"0"	"0"	"1316,16050035098"	"8"	"High"	"0"	"0"	"2142,93908930261"	"11"	"High"	"0"	"0"	"373,638431701099"	"5"
"False"	"IsMasterProtein"	"A5VXN3"	"Elongation factor Tu OS=Pseudomonas putida (strain ATCC 700007 / DSM 6899 / BCRC 17059 / F1) GN=tuf PE=3 SV=1"	"48,1108312342569"	"15"	"396"	"1"	"1"	"397"	"43,468"	"5,38"	"High"	"0"	"0"	"2149,11291002395"	"15"	"High"	"0"	"0"	"1419,39266571374"	"12"	"High"	"0"	"0"	"1512,53968537719"	"11"	"High"	"0"	"0"	"1931,61683395959"	"14"	"High"	"0"	"0"	"1817,93970027532"	"10"	"High"	"0"	"0"	"293,52710478424"	"5"	"High"	"0"	"0"	"1170,67502297862"	"8"	"High"	"0"	"0"	"2013,80199809619"	"12"	"High"	"0"	"0"	"360,808431701099"	"5"
"False"	"IsMasterProtein"	"Q1IFW8"	"Elongation factor Tu OS=Pseudomonas entomophila (strain L48) GN=tuf1 PE=3 SV=1"	"48,6146095717884"	"15"	"399"	"1"	"1"	"397"	"43,451"	"5,38"	"High"	"0"	"0"	"2108,77789143072"	"14"	"High"	"0"	"0"	"1419,90871222537"	"12"	"High"	"0"	"0"	"1551,72503693854"	"12"	"High"	"0"	"0"	"1949,94435213574"	"14"	"High"	"0"	"0"	"1866,24407019567"	"11"	"High"	"0"	"0"	"293,52710478424"	"5"	"High"	"0"	"0"	"1208,87673715415"	"9"	"High"	"0"	"0"	"2042,80405326805"	"13"	"High"	"0"	"0"	"360,808431701099"	"5"
"False"	"IsMasterProtein"	"Q3K6J0"	"Serine hydroxymethyltransferase 2 OS=Pseudomonas fluorescens (strain Pf0-1) GN=glyA2 PE=3 SV=1"	"47,9616306954436"	"13"	"193"	"3"	"0"	"417"	"44,767"	"6,11"	"High"	"0"	"0"	"1539,39267139683"	"11"	"High"	"0"	"0"	"1343,49392615235"	"9"	"High"	"0"	"0"	"1141,36948204397"	"8"	"High"	"0"	"0"	"1459,84630791359"	"8"	"High"	"0"	"0"	"777,137233427191"	"7"	"High"	"1"	"0,000700770847932726"	"64,7267363239163"	"2"	"High"	"0"	"0"	"246,148412044246"	"6"	"High"	"0"	"0"	"284,000046572186"	"4"	"High"	"0"	"0"	"76,8844915258815"	"2"
"False"	"IsMasterProtein"	"C3K1A0"	"60 kDa chaperonin OS=Pseudomonas fluorescens (strain SBW25) GN=groL PE=3 SV=1"	"40,8759124087591"	"17"	"294"	"7"	"1"	"548"	"56,931"	"5,05"	"High"	"0"	"0"	"1470,40381043756"	"13"	"High"	"0"	"0"	"1032,57149646304"	"13"	"High"	"0"	"0"	"1231,79861946814"	"13"	"High"	"0"	"0"	"917,727370670131"	"11"	"High"	"0"	"0"	"1803,73431744088"	"13"	"High"	"0"	"0"	"317,726887690705"	"7"	"High"	"0"	"0"	"1177,79151369358"	"11"	"High"	"0"	"0"	"1600,76578023002"	"12"	"High"	"0"	"0"	"244,082548666706"	"5"
"False"	"IsMasterProtein"	"C3K5Z6"	"Elongation factor Ts OS=Pseudomonas fluorescens (strain SBW25) GN=tsf PE=3 SV=1"	"51,219512195122"	"14"	"189"	"5"	"1"	"287"	"30,341"	"5,29"	"High"	"0"	"0"	"1390,2604601165"	"10"	"High"	"0"	"0"	"1063,4305856349"	"13"	"High"	"0"	"0"	"833,466226449579"	"11"	"High"	"0"	"0"	"1176,27687949397"	"13"	"High"	"0"	"0"	"533,308609460786"	"9"	"High"	"2"	"0,000873362445414847"	"52,78"	"1"	"High"	"0"	"0"	"230,3969110784"	"6"	"High"	"0"	"0"	"621,395738116689"	"11"	""	""	""	""	""
"False"	"IsMasterProtein"	"P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	"76,8860353130016"	"33"	"886"	"32"	"1"	"623"	"62,027"	"5,24"	"High"	"0"	"0"	"1370,40128590096"	"22"	"High"	"0"	"0"	"1113,08939256955"	"21"	"High"	"0"	"0"	"1101,608372242"	"19"	"High"	"0"	"0"	"866,890073149456"	"19"	"High"	"0"	"0"	"8744,48511160692"	"29"	"High"	"0"	"0"	"5212,06429060946"	"23"	"High"	"0"	"0"	"3754,82434989832"	"22"	"High"	"0"	"0"	"4638,77143739226"	"25"	"High"	"0"	"0"	"5782,62320966784"	"25"
